,precision,recall,f1-score,support,pipeline,classifier,vectorizer,features,preprocess_function,preprocess_function_uses_lemmatization,preprocess_function_uses_stemmanization,feature_list
macro avg,0.8043293421912576,0.831632370837482,0.8098581968328277,800.0,TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
weighted avg,0.8408224354215446,0.81875,0.8226048279626471,800.0,TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
CONSPIRACY,0.7822878228782287,0.7681159420289855,0.7751371115173674,276.0,CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
CRITICAL,0.8790170132325141,0.8874045801526718,0.8831908831908832,524.0,CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
accuracy,0.84625,0.84625,0.84625,0.84625,CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
macro avg,0.8306524180553714,0.8277602610908286,0.8291639973541254,800.0,CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
weighted avg,0.8456454425602857,0.84625,0.8459123319635202,800.0,CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
CONSPIRACY,0.7468354430379747,0.855072463768116,0.7972972972972973,276.0,TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
CRITICAL,0.9173553719008265,0.8473282442748091,0.8809523809523809,524.0,TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
accuracy,0.85,0.85,0.85,0.85,TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
