,precision,recall,f1-score,support,pipeline,classifier,vectorizer,features,preprocess_function,preprocess_function_uses_lemmatization,preprocess_function_uses_stemmanization,feature_list
macro avg,0.8320954074694006,0.8512003540214625,0.8391248391248392,800.0,TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
weighted avg,0.8585259964431426,0.85,0.8520913770913771,800.0,TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount""]"
CONSPIRACY,0.7491039426523297,0.7572463768115942,0.7531531531531531,276.0,CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
CRITICAL,0.8714011516314779,0.8664122137404581,0.8688995215311005,524.0,CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
accuracy,0.82875,0.82875,0.82875,0.82875,CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
macro avg,0.8102525471419038,0.8118292952760262,0.8110263373421268,800.0,CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
weighted avg,0.8292086145336718,0.82875,0.8289670244407087,800.0,CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
CONSPIRACY,0.7278481012658228,0.8333333333333334,0.777027027027027,276.0,TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
CRITICAL,0.9049586776859504,0.8358778625954199,0.8690476190476191,524.0,TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
accuracy,0.835,0.835,0.835,0.835,TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
macro avg,0.8164033894758866,0.8346055979643766,0.823037323037323,800.0,TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
weighted avg,0.8438555288210065,0.835,0.8373005148005148,800.0,TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount""]"
CONSPIRACY,0.761744966442953,0.822463768115942,0.7909407665505227,276.0,CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
CRITICAL,0.9023904382470119,0.8645038167938931,0.8830409356725146,524.0,CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
accuracy,0.85,0.85,0.85,0.85,CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
macro avg,0.8320677023449825,0.8434837924549176,0.8369908511115187,800.0,CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
weighted avg,0.8538677504746116,0.85,0.8512663773254274,800.0,CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
CONSPIRACY,0.6896551724137931,0.8695652173913043,0.7692307692307693,276.0,TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
CRITICAL,0.9203539823008849,0.7938931297709924,0.8524590163934426,524.0,TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
accuracy,0.82,0.82,0.82,0.82,TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
macro avg,0.8050045773573391,0.8317291735811483,0.8108448928121059,800.0,TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
weighted avg,0.8407628928898383,0.82,0.8237452711223203,800.0,TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount""]"
CONSPIRACY,0.7407407407407407,0.7971014492753623,0.7678883071553229,276.0,CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
CRITICAL,0.8886679920477137,0.8530534351145038,0.8704965920155794,524.0,CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
accuracy,0.83375,0.83375,0.83375,0.83375,CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
macro avg,0.8147043663942273,0.8250774421949331,0.8191924495854511,800.0,CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
weighted avg,0.837633090346808,0.83375,0.8350967337387908,800.0,CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
CONSPIRACY,0.6866096866096866,0.8731884057971014,0.7687400318979266,276.0,TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
CRITICAL,0.9220489977728286,0.7900763358778626,0.8509763617677287,524.0,TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
accuracy,0.81875,0.81875,0.81875,0.81875,TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
macro avg,0.8043293421912576,0.831632370837482,0.8098581968328277,800.0,TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
weighted avg,0.8408224354215446,0.81875,0.8226048279626471,800.0,TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount""]"
CONSPIRACY,0.8726415094339622,0.6702898550724637,0.7581967213114754,276.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount"", ""comment_length""]"
CRITICAL,0.8452380952380952,0.9484732824427481,0.8938848920863309,524.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount"", ""comment_length""]"
accuracy,0.8525,0.8525,0.8525,0.8525,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount"", ""comment_length""]"
macro avg,0.8589398023360287,0.8093815687576059,0.8260408066989031,800.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount"", ""comment_length""]"
weighted avg,0.8546922731356693,0.8525,0.8470724731690058,800.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.8475336322869955,0.6847826086956522,0.7575150300601202,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount"", ""comment_length""]"
CRITICAL,0.8492201039861352,0.9351145038167938,0.8900999091734787,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount"", ""comment_length""]"
accuracy,0.84875,0.84875,0.84875,0.84875,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount"", ""comment_length""]"
macro avg,0.8483768681365653,0.809948556256223,0.8238074696167994,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount"", ""comment_length""]"
weighted avg,0.8486382712499321,0.84875,0.84435812587937,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.8266666666666667,0.6739130434782609,0.7425149700598802,276.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount"", ""comment_length""]"
CRITICAL,0.8434782608695652,0.9255725190839694,0.8826205641492265,524.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount"", ""comment_length""]"
accuracy,0.83875,0.83875,0.83875,0.83875,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount"", ""comment_length""]"
macro avg,0.835072463768116,0.7997427812811151,0.8125677671045534,800.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount"", ""comment_length""]"
weighted avg,0.8376782608695652,0.83875,0.8342841341884021,800.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.8189655172413793,0.6884057971014492,0.7480314960629921,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount"", ""comment_length""]"
CRITICAL,0.8485915492957746,0.9198473282442748,0.8827838827838828,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount"", ""comment_length""]"
accuracy,0.84,0.84,0.84,0.84,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount"", ""comment_length""]"
macro avg,0.833778533268577,0.804126562672862,0.8154076894234374,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount"", ""comment_length""]"
weighted avg,0.8383705682370084,0.84,0.8362943093651755,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.8878504672897196,0.6884057971014492,0.7755102040816326,276.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
CRITICAL,0.8532423208191127,0.9541984732824428,0.9009009009009009,524.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
accuracy,0.8625,0.8625,0.8625,0.8625,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
macro avg,0.8705463940544161,0.8213021351919461,0.8382055524912668,800.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
weighted avg,0.865182131351472,0.8625,0.8576411104982534,800.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.8558951965065502,0.7101449275362319,0.7762376237623763,276.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
CRITICAL,0.8598949211908932,0.9370229007633588,0.8968036529680365,524.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
accuracy,0.85875,0.85875,0.85875,0.85875,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
macro avg,0.8578950588487217,0.8235839141497954,0.8365206383652064,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
weighted avg,0.8585150161747949,0.85875,0.8552083728920837,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.8584905660377359,0.6594202898550725,0.7459016393442623,276.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
CRITICAL,0.8401360544217688,0.9427480916030534,0.8884892086330936,524.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
accuracy,0.845,0.845,0.845,0.845,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
macro avg,0.8493133102297523,0.8010841907290629,0.817195423988678,800.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
weighted avg,0.8464683609292775,0.845,0.8392964972284469,800.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.8391304347826087,0.6992753623188406,0.7628458498023716,276.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
CRITICAL,0.8543859649122807,0.9293893129770993,0.8903107861060329,524.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
accuracy,0.85,0.85,0.85,0.85,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
macro avg,0.8467581998474447,0.8143323376479699,0.8265783179542022,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
weighted avg,0.8491228070175438,0.85,0.8463353830812698,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.8779342723004695,0.677536231884058,0.7648261758691206,276.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
CRITICAL,0.848381601362862,0.950381679389313,0.8964896489648965,524.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
accuracy,0.85625,0.85625,0.85625,0.85625,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
macro avg,0.8631579368316658,0.8139589556366855,0.8306579124170086,800.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
weighted avg,0.8585772728363366,0.85625,0.8510657507468538,800.0,"CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
CONSPIRACY,0.8423423423423423,0.677536231884058,0.751004016064257,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
CRITICAL,0.8460207612456747,0.933206106870229,0.8874773139745916,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
accuracy,0.845,0.845,0.845,0.845,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
macro avg,0.8441815517940086,0.8053711693771435,0.8192406650194244,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
weighted avg,0.844751706724025,0.845,0.8403940261955262,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
CONSPIRACY,0.8310502283105022,0.6594202898550725,0.7353535353535353,276.0,"CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MLPClassifier(hidden_layer_sizes=(50,))",MLPClassifier,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
