,precision,recall,f1-score,support,pipeline,classifier,vectorizer,ngram_lower_bound,ngram_upper_bound,preprocess_function
macro avg,0.8476964337625071,0.7563751521185972,0.7774210807918673,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,CountVectorizer,1,2,preprocess_advanced
weighted avg,0.8335000797081743,0.82125,0.8080395933654362,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,CountVectorizer,1,2,preprocess_advanced
CONSPIRACY,0.8708133971291866,0.6594202898550725,0.7505154639175258,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_advanced
CRITICAL,0.8409475465313029,0.9484732824427481,0.8914798206278027,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_advanced
accuracy,0.84875,0.84875,0.84875,0.84875,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_advanced
macro avg,0.8558804718302447,0.8039467861489102,0.8209976422726643,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_advanced
weighted avg,0.8512512649875729,0.84875,0.8428471175627572,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_advanced
CONSPIRACY,0.85,0.4927536231884058,0.6238532110091743,276.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_advanced
CRITICAL,0.78125,0.9541984732824428,0.8591065292096219,524.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_advanced
accuracy,0.795,0.795,0.795,0.795,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_advanced
macro avg,0.815625,0.7234760482354243,0.7414798701093981,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_advanced
weighted avg,0.80496875,0.795,0.7779441344304675,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_advanced
CONSPIRACY,0.8165680473372781,0.5,0.6202247191011236,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,TfidfVectorizer,2,2,preprocess_advanced
CRITICAL,0.7812995245641838,0.9408396946564885,0.8536796536796537,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,TfidfVectorizer,2,2,preprocess_advanced
accuracy,0.78875,0.78875,0.78875,0.78875,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,TfidfVectorizer,2,2,preprocess_advanced
macro avg,0.798933785950731,0.7204198473282443,0.7369521863903887,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,TfidfVectorizer,2,2,preprocess_advanced
weighted avg,0.7934671649209014,0.78875,0.7731377012500609,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,TfidfVectorizer,2,2,preprocess_advanced
CONSPIRACY,0.7714285714285715,0.782608695652174,0.7769784172661871,276.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_basic
CRITICAL,0.8846153846153846,0.8778625954198473,0.8812260536398467,524.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_basic
accuracy,0.845,0.845,0.845,0.845,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_basic
macro avg,0.828021978021978,0.8302356455360107,0.8291022354530169,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_basic
weighted avg,0.845565934065934,0.845,0.8452606190909342,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_basic
CONSPIRACY,0.6905444126074498,0.8731884057971014,0.7712,276.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_basic
CRITICAL,0.9223946784922394,0.7938931297709924,0.8533333333333334,524.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_basic
accuracy,0.82125,0.82125,0.82125,0.82125,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_basic
macro avg,0.8064695455498446,0.833540767784047,0.8122666666666667,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_basic
weighted avg,0.842406336761987,0.82125,0.8249973333333334,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_basic
CONSPIRACY,0.7507987220447284,0.8514492753623188,0.797962648556876,276.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_basic
CRITICAL,0.9158110882956879,0.851145038167939,0.8822947576656776,524.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_basic
accuracy,0.85125,0.85125,0.85125,0.85125,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_basic
macro avg,0.8333049051702082,0.8512971567651288,0.8401287031112767,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_basic
weighted avg,0.8588818219391069,0.85125,0.853200180023141,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_basic
CONSPIRACY,0.6142857142857143,0.9347826086956522,0.7413793103448276,276.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,TfidfVectorizer,1,2,preprocess_basic
CRITICAL,0.9526315789473684,0.6908396946564885,0.8008849557522124,524.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,TfidfVectorizer,1,2,preprocess_basic
accuracy,0.775,0.775,0.775,0.775,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,TfidfVectorizer,1,2,preprocess_basic
macro avg,0.7834586466165414,0.8128111516760703,0.77113213304852,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,TfidfVectorizer,1,2,preprocess_basic
weighted avg,0.8359022556390977,0.775,0.7803555080866648,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,TfidfVectorizer,1,2,preprocess_basic
CONSPIRACY,0.7517241379310344,0.7898550724637681,0.7703180212014135,276.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,CountVectorizer,2,2,preprocess_basic
CRITICAL,0.8862745098039215,0.8625954198473282,0.874274661508704,524.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,CountVectorizer,2,2,preprocess_basic
accuracy,0.8375,0.8375,0.8375,0.8375,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,CountVectorizer,2,2,preprocess_basic
macro avg,0.818999323867478,0.8262252461555482,0.8222963413550588,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,CountVectorizer,2,2,preprocess_basic
weighted avg,0.8398546315077755,0.8375,0.8384096206026888,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,CountVectorizer,2,2,preprocess_basic
CONSPIRACY,0.6586021505376344,0.8876811594202898,0.7561728395061729,276.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,TfidfVectorizer,2,2,preprocess_basic
CRITICAL,0.927570093457944,0.7576335877862596,0.8340336134453782,524.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,TfidfVectorizer,2,2,preprocess_basic
accuracy,0.8025,0.8025,0.8025,0.8025,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,TfidfVectorizer,2,2,preprocess_basic
macro avg,0.7930861219977892,0.8226573736032747,0.7951032264757756,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,TfidfVectorizer,2,2,preprocess_basic
weighted avg,0.8347761531504372,0.8025,0.8071716464363524,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,TfidfVectorizer,2,2,preprocess_basic
CONSPIRACY,0.8767123287671232,0.6956521739130435,0.7757575757575758,276.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,CountVectorizer,1,1,preprocess_basic
CRITICAL,0.8554216867469879,0.9484732824427481,0.8995475113122172,524.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,CountVectorizer,1,1,preprocess_basic
accuracy,0.86125,0.86125,0.86125,0.86125,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,CountVectorizer,1,1,preprocess_basic
